filepath,label,source
master_dataset/kaggle/benign/benign_80107.png,benign,kaggle
master_dataset/kaggle/benign/benign_54430.png,benign,kaggle
master_dataset/kaggle/benign/benign_2041.png,benign,kaggle
master_dataset/kaggle/benign/benign_98748.png,benign,kaggle
master_dataset/kaggle/benign/benign_12465.png,benign,kaggle
master_dataset/kaggle/benign/benign_23860.png,benign,kaggle
master_dataset/kaggle/benign/benign_65835.png,benign,kaggle
master_dataset/kaggle/benign/benign_44623.png,benign,kaggle
master_dataset/kaggle/benign/benign_90314.png,benign,kaggle
master_dataset/kaggle/benign/benign_87668.png,benign,kaggle
master_dataset/kaggle/benign/benign_89645.png,benign,kaggle
master_dataset/kaggle/benign/benign_98990.png,benign,kaggle
master_dataset/kaggle/benign/benign_72391.png,benign,kaggle
master_dataset/kaggle/benign/benign_86576.png,benign,kaggle
master_dataset/kaggle/benign/benign_52041.png,benign,kaggle
master_dataset/kaggle/benign/benign_4430.png,benign,kaggle
master_dataset/kaggle/benign/benign_74938.png,benign,kaggle
master_dataset/kaggle/benign/benign_14014.png,benign,kaggle
master_dataset/kaggle/benign/benign_62182.png,benign,kaggle
master_dataset/kaggle/benign/benign_99456.png,benign,kaggle
master_dataset/kaggle/benign/benign_81219.png,benign,kaggle
master_dataset/kaggle/benign/benign_453.png,benign,kaggle
master_dataset/kaggle/benign/benign_42252.png,benign,kaggle
master_dataset/kaggle/benign/benign_96765.png,benign,kaggle
master_dataset/kaggle/benign/benign_39838.png,benign,kaggle
master_dataset/kaggle/benign/benign_59114.png,benign,kaggle
master_dataset/kaggle/benign/benign_82710.png,benign,kaggle
master_dataset/kaggle/benign/benign_56227.png,benign,kaggle
master_dataset/kaggle/benign/benign_10272.png,benign,kaggle
master_dataset/kaggle/benign/benign_49307.png,benign,kaggle
master_dataset/kaggle/benign/benign_7139.png,benign,kaggle
master_dataset/kaggle/benign/benign_51548.png,benign,kaggle
master_dataset/kaggle/benign/benign_71698.png,benign,kaggle
master_dataset/kaggle/benign/benign_46034.png,benign,kaggle
master_dataset/kaggle/benign/benign_92503.png,benign,kaggle
master_dataset/kaggle/benign/benign_26918.png,benign,kaggle
master_dataset/kaggle/benign/benign_41983.png,benign,kaggle
master_dataset/kaggle/benign/benign_84361.png,benign,kaggle
master_dataset/kaggle/benign/benign_50656.png,benign,kaggle
master_dataset/kaggle/benign/benign_6227.png,benign,kaggle
master_dataset/kaggle/benign/benign_28935.png,benign,kaggle
master_dataset/kaggle/benign/benign_16603.png,benign,kaggle
master_dataset/kaggle/benign/benign_48019.png,benign,kaggle
master_dataset/kaggle/benign/benign_9114.png,benign,kaggle
master_dataset/kaggle/benign/benign_19530.png,benign,kaggle
master_dataset/kaggle/benign/benign_70586.png,benign,kaggle
master_dataset/kaggle/benign/benign_40445.png,benign,kaggle
master_dataset/kaggle/benign/benign_94172.png,benign,kaggle
master_dataset/kaggle/benign/benign_60795.png,benign,kaggle
master_dataset/kaggle/benign/benign_1548.png,benign,kaggle
master_dataset/kaggle/benign/benign_71840.png,benign,kaggle
master_dataset/kaggle/benign/benign_57139.png,benign,kaggle
master_dataset/kaggle/benign/benign_37815.png,benign,kaggle
master_dataset/kaggle/benign/benign_7887.png,benign,kaggle
master_dataset/kaggle/benign/benign_29395.png,benign,kaggle
master_dataset/kaggle/benign/benign_94614.png,benign,kaggle
master_dataset/kaggle/benign/benign_40323.png,benign,kaggle
master_dataset/kaggle/benign/benign_83368.png,benign,kaggle
master_dataset/kaggle/benign/benign_69969.png,benign,kaggle
master_dataset/kaggle/benign/benign_50130.png,benign,kaggle
master_dataset/kaggle/benign/benign_84407.png,benign,kaggle
master_dataset/kaggle/benign/benign_16165.png,benign,kaggle
master_dataset/kaggle/benign/benign_39186.png,benign,kaggle
master_dataset/kaggle/benign/benign_6541.png,benign,kaggle
master_dataset/kaggle/benign/benign_76849.png,benign,kaggle
master_dataset/kaggle/benign/benign_19256.png,benign,kaggle
master_dataset/kaggle/benign/benign_9672.png,benign,kaggle
master_dataset/kaggle/benign/benign_49461.png,benign,kaggle
master_dataset/kaggle/benign/benign_38298.png,benign,kaggle
master_dataset/kaggle/benign/benign_66482.png,benign,kaggle
master_dataset/kaggle/benign/benign_85719.png,benign,kaggle
master_dataset/kaggle/benign/benign_78864.png,benign,kaggle
master_dataset/kaggle/benign/benign_92265.png,benign,kaggle
master_dataset/kaggle/benign/benign_57887.png,benign,kaggle
master_dataset/kaggle/benign/benign_18148.png,benign,kaggle
master_dataset/kaggle/benign/benign_46752.png,benign,kaggle
master_dataset/kaggle/benign/benign_21911.png,benign,kaggle
master_dataset/kaggle/benign/benign_59672.png,benign,kaggle
master_dataset/kaggle/benign/benign_76691.png,benign,kaggle
master_dataset/kaggle/benign/benign_67944.png,benign,kaggle
master_dataset/kaggle/benign/benign_56541.png,benign,kaggle
master_dataset/kaggle/benign/benign_82076.png,benign,kaggle
master_dataset/kaggle/benign/benign_10514.png,benign,kaggle
master_dataset/kaggle/benign/benign_99330.png,benign,kaggle
master_dataset/kaggle/benign/benign_3439.png,benign,kaggle
master_dataset/kaggle/benign/benign_73931.png,benign,kaggle
master_dataset/kaggle/benign/benign_35964.png,benign,kaggle
master_dataset/kaggle/benign/benign_55048.png,benign,kaggle
master_dataset/kaggle/benign/benign_75398.png,benign,kaggle
master_dataset/kaggle/benign/benign_96003.png,benign,kaggle
master_dataset/kaggle/benign/benign_42534.png,benign,kaggle
master_dataset/kaggle/benign/benign_335.png,benign,kaggle
master_dataset/kaggle/benign/benign_89123.png,benign,kaggle
master_dataset/kaggle/benign/benign_52727.png,benign,kaggle
master_dataset/kaggle/benign/benign_86210.png,benign,kaggle
master_dataset/kaggle/benign/benign_14772.png,benign,kaggle
master_dataset/kaggle/benign/benign_4356.png,benign,kaggle
master_dataset/kaggle/benign/benign_90472.png,benign,kaggle
master_dataset/kaggle/benign/benign_24869.png,benign,kaggle
master_dataset/kaggle/benign/benign_44145.png,benign,kaggle
master_dataset/kaggle/benign/benign_5048.png,benign,kaggle
master_dataset/kaggle/benign/benign_64295.png,benign,kaggle
master_dataset/kaggle/benign/benign_53439.png,benign,kaggle
master_dataset/kaggle/benign/benign_54356.png,benign,kaggle
master_dataset/kaggle/benign/benign_80661.png,benign,kaggle
master_dataset/kaggle/benign/benign_12303.png,benign,kaggle
master_dataset/kaggle/benign/benign_2727.png,benign,kaggle
master_dataset/kaggle/benign/benign_74086.png,benign,kaggle
master_dataset/kaggle/benign/benign_35970.png,benign,kaggle
master_dataset/kaggle/benign/benign_13009.png,benign,kaggle
master_dataset/kaggle/benign/benign_73925.png,benign,kaggle
master_dataset/kaggle/benign/benign_99324.png,benign,kaggle
master_dataset/kaggle/benign/benign_42520.png,benign,kaggle
master_dataset/kaggle/benign/benign_321.png,benign,kaggle
master_dataset/kaggle/benign/benign_96017.png,benign,kaggle
master_dataset/kaggle/benign/benign_89137.png,benign,kaggle
